courseId,courseName,chapterId,chapterName,lessonId,lessonName,taskId,taskTitle,scenario,pdfUrls,tallyUrls,answerKeyUrl,xp,instructions,topicId,topicTitle,videoUrl,description,order,questionId,question,options,correct
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_01,Entering the Battlefield – QMS Basics & SOP Gap Review,task_1_01_01_1,QMS Compliance Check,"Welcome to your first mission as a Junior Quality Control Analyst at Zenith Pharma Labs! Your supervisor, Ms. Rhea Patel, Quality Assurance Supervisor, needs you to ensure the lab’s Quality Management System (QMS) is on point. You’ve been tasked with checking if the lab’s batch record-keeping follows the QMS rules outlined in the SOP. Your job is to review the SOP, compare it to a lab observation, and fill out a Compliance Verification Form to confirm if the process is compliant or flag any issues. This keeps the lab’s operations safe and reliable, like a well-coordinated army following its playbook.

CheckList:
1. Review the SOP for batch record-keeping.
2. Compare it to a lab observation to check compliance.
3. Complete the Compliance Verification Form (100–150 words) to report your findings.

Why This Matters: Checking QMS compliance ensures every pill is safe and meets standards, protecting patients and avoiding costly mistakes.",https://drive.google.com/file/d/1K0SDr6xPtfcQr_pH3YUCjAMVTI1it8zd/view?usp=sharing,https://tally.so/r/m6Bzeo,https://drive.google.com/file/d/1mFO3hiotOq3pHMEYGQtq--sIUvUq-OjA/view?usp=sharing,10,"Open SOP: Click “Reference Documents” → read Batch Record-Keeping Procedure (requires date, batch number, operator’s initials).
Review Observation: From Reference Documents → note issue: Some batch records missing operator’s initials.
Check Compliance: Compare SOP vs. observation → ask: Is the lab following the rule? What’s the gap?
Open Form: Click “Fillable Document” → Compliance Verification Form.
Complete Form:
Compliance Status: State if compliant or non-compliant.
Observation: Briefly describe the issue.
Recommendation: Suggest one practical fix (100–150 words).
Verify: Ensure findings are clear and solution is realistic.
Check Answer: Click “Answer Portal” → review correct Compliance Verification Form.",topic_1_01_01_1,Entering the Battlefield – QMS Basics & SOP Gap Review,https://www.youtube.com/watch?v=rAfeJBhGwYQ,Unlock the essentials of Quality Management Systems (QMS) and discover how to identify and fix SOP gaps. This video provides quick practical insights to boost your organization’s quality and compliance. Perfect for beginners and quality professionals!,1,quiz_1_01_01_1_1,What are the four critical elements that a Quality Management System (QMS) coordinates in an organization?,"A) Planning, execution, monitoring, and reporting. | B) Quality standards, procedures, roles, and corrective actions. | C) Documentation, training, auditing, and compliance. | D) Policies, processes, people, and performance.",B
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_01,Entering the Battlefield – QMS Basics & SOP Gap Review,,,,,,,,,,,,,,quiz_1_01_01_1_2, what does operating without QMS resemble?,A) A well-organized military unit | B) A disciplined army with clear command structure | C) A military unit without command structure | D) A strategic command center,C
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_01,Entering the Battlefield – QMS Basics & SOP Gap Review,,,,,,,,,,,,,,quiz_1_01_01_1_3,What is the primary purpose of a Standard Operating Procedure (SOP) in a QMS?,A) To provide optional guidelines | B) To enforce consistent processes | C) To track employee performance | D) To handle customer complaints,B
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_01,Entering the Battlefield – QMS Basics & SOP Gap Review,,,,,,,,,,,,,,quiz_1_01_01_1_4,Which standard is commonly associated with QMS in pharmaceuticals?,A) ISO 9001 | B) ISO 14001 | C) ISO 27001 | D) ISO 45001,A
course_1,QA/QC,ch_1_01,Foundations of Quality Warfare,les_1_01_01,Entering the Battlefield – QMS Basics & SOP Gap Review,,,,,,,,,,,,,,quiz_1_01_01_1_5,What is a common gap in SOP implementation?,A) Overly detailed procedures | B) Lack of training | C) Too many audits | D) Excessive documentation,B
course_2,Manufacturing,ch_2_01,Basics of Production Excellence,les_2_01_01,Intro to Manufacturing Processes,task_2_01_01_1,Process Optimization Check,"As a Junior Manufacturing Engineer at Apex Industries, your manager, Mr. Alex Thompson, assigns you to review the assembly line process. Identify inefficiencies in the workflow by comparing the current setup to the standard procedure and propose optimizations using a Process Improvement Form.

Checklist:
1. Review the standard manufacturing SOP.
2. Observe the current assembly line.
3. Fill out the Process Improvement Form (100-150 words).

Why This Matters: Optimizing processes reduces waste and increases efficiency, ensuring high-quality output.",https://drive.google.com/file/d/dummy_pdf2/view?usp=sharing,https://tally.so/r/dummy_form2,https://drive.google.com/file/d/dummy_answer2/view?usp=sharing,10,"Open SOP: Click “Reference Documents” → read Assembly Line Procedure.
Review Observation: Note delays in material handling.
Check Efficiency: Compare SOP vs. observation.
Open Form: Click “Fillable Document” → Process Improvement Form.
Complete Form: Status, Observation, Recommendation (100-150 words).
Verify and Check Answer.",topic_2_01_01_1,Intro to Manufacturing Processes,https://www.youtube.com/watch?v=cn9nxCZpIvM,Learn the fundamentals of manufacturing processes and how to optimize them for better efficiency. Ideal for new engineers!,1,quiz_2_01_01_1_1,What is the main goal of lean manufacturing?,A) Increase inventory | B) Eliminate waste | C) Maximize workforce | D) Reduce quality checks,B
course_2,Manufacturing,ch_2_01,Basics of Production Excellence,les_2_01_01,Intro to Manufacturing Processes,,,,,,,10,"Open SOP: Click “Reference Documents” → read Assembly Line Procedure.
Review Observation: Note delays in material handling.
Check Efficiency: Compare SOP vs. observation.
Open Form: Click “Fillable Document” → Process Improvement Form.
Complete Form: Status, Observation, Recommendation (100-150 words).
Verify and Check Answer.",,,,,,quiz_2_01_01_1_2,Which tool is used for root cause analysis in manufacturing?,A) Pareto Chart | B) Fishbone Diagram | C) Gantt Chart | D) Pie Chart,B
course_2,Manufacturing,ch_2_01,Basics of Production Excellence,les_2_01_01,Intro to Manufacturing Processes,,,,,,,10,"Open SOP: Click “Reference Documents” → read Assembly Line Procedure.
Review Observation: Note delays in material handling.
Check Efficiency: Compare SOP vs. observation.
Open Form: Click “Fillable Document” → Process Improvement Form.
Complete Form: Status, Observation, Recommendation (100-150 words).
Verify and Check Answer.",,,,,,quiz_2_01_01_1_3,What does GMP stand for in manufacturing?,A) Good Management Practices | B) Good Manufacturing Practices | C) General Maintenance Protocol | D) Global Market Policies,B
course_2,Manufacturing,ch_2_01,Basics of Production Excellence,les_2_01_01,Intro to Manufacturing Processes,,,,,,,10,"Open SOP: Click “Reference Documents” → read Assembly Line Procedure.
Review Observation: Note delays in material handling.
Check Efficiency: Compare SOP vs. observation.
Open Form: Click “Fillable Document” → Process Improvement Form.
Complete Form: Status, Observation, Recommendation (100-150 words).
Verify and Check Answer.",,,,,,quiz_2_01_01_1_4,Which is a key principle of Six Sigma?,A) Reduce variation | B) Increase speed | C) Lower costs only | D) Expand inventory,A
course_2,Manufacturing,ch_2_01,Basics of Production Excellence,les_2_01_01,Intro to Manufacturing Processes,,,,,,,10,"Open SOP: Click “Reference Documents” → read Assembly Line Procedure.
Review Observation: Note delays in material handling.
Check Efficiency: Compare SOP vs. observation.
Open Form: Click “Fillable Document” → Process Improvement Form.
Complete Form: Status, Observation, Recommendation (100-150 words).
Verify and Check Answer.",,,,,,quiz_2_01_01_1_5,What is JIT in manufacturing?,A) Just In Time | B) Job Instruction Training | C) Joint Improvement Team | D) Justified Inventory Tracking,A
course_3,Regulatory Affairs,ch_3_01,Compliance Fundamentals,les_3_01_01,Understanding Regulatory Submissions,task_3_01_01_1,Submission Review,"You are a Regulatory Affairs Associate at BioReg Corp. Your lead, Dr. Elena Vasquez, tasks you with reviewing a drug submission dossier for completeness against FDA guidelines. Flag any missing sections and complete a Submission Checklist Form.

Checklist:
1. Review FDA guidelines.
2. Check dossier contents.
3. Complete Submission Checklist Form (100-150 words).

Why This Matters: Accurate submissions prevent delays in drug approvals.",https://drive.google.com/file/d/dummy_pdf3/view?usp=sharing,https://tally.so/r/dummy_form3,https://drive.google.com/file/d/dummy_answer3/view?usp=sharing,10,"Open Guidelines: Click “Reference Documents” → read FDA Submission Requirements.
Review Dossier: Note missing toxicology data.
Check Completeness: Compare vs. guidelines.
Open Form: Click “Fillable Document” → Submission Checklist Form.
Complete Form: Status, Missing Items, Recommendations (100-150 words).
Verify and Check Answer.",topic_3_01_01_1,Understanding Regulatory Submissions,https://www.youtube.com/watch?v=cn9nxCZpIvM,Dive into the world of regulatory submissions and learn how to ensure compliance with authorities. Great for regulatory beginners!,1,quiz_3_01_01_1_1,What does FDA stand for?,A) Food and Drug Administration | B) Federal Drug Agency | C) Food Development Association | D) Federal Directive Authority,A
course_3,Regulatory Affairs,ch_3_01,Compliance Fundamentals,les_3_01_01,Understanding Regulatory Submissions,,,,,,,,,,,,,,quiz_3_01_01_1_2,What is IND in regulatory terms?,A) Investigational New Drug | B) International Drug Network | C) Initial Drug Notification | D) Investigational Drug Notice,A
course_3,Regulatory Affairs,ch_3_01,Compliance Fundamentals,les_3_01_01,Understanding Regulatory Submissions,,,,,,,,,,,,,,quiz_3_01_01_1_3,Which phase tests drug safety in humans?,A) Phase 1 | B) Phase 2 | C) Phase 3 | D) Phase 4,A
